obj,rel,sbj,GT_1,GT_2,GT_3,GT_4,GT_5,GT_6,GT_7,GT_8,GT_9,GT_10,GT_11,GT_12,GT_13,GT_14,GT_15,GT_16,GT_17,GT_18,GT_19,GT_20,GT_21,GT_22,GT_23,GT_24,GT_25,GT_26,GT_27,GT_28,GT_29,GT_30,GT_31,GT_32,GT_33,GT_34,GT_35,GT_36,GT_37,GT_38,GT_39,GT_40,GT_41,GT_42,GT_43,GT_44,GT_45,GT_46,GT_47,GT_48,GT_49,GT_50,GT_51,GT_52,GT_53,GT_54,GT_55,GT_56,GT_57,GT_58,GT_59,GT_60,GT_61,GT_62,GT_63,GT_64,GT_65,GT_66,GT_67,GT_68,GT_69,GT_70,GT_71,GT_72,GT_73,GT_74,GT_75,GT_76,GT_77,GT_78,GT_79,GT_80,GT_81,GT_82,GT_83,GT_84,GT_85,GT_86,GT_87,GT_88,GT_89,GT_90,GT_91,GT_92,GT_93,GT_94,GT_95,GT_96,GT_97,GT_98,GT_99,GT_100,GT_101,GT_102,GT_103,GT_104,GT_105,GT_106,GT_107,GT_108,GT_109,GT_110,GT_111,GT_112,GT_113,GT_114,GT_115,GT_116,GT_117,GT_118,GT_119,GT_120,GT_121,GT_122,GT_123,GT_124,GT_125,GT_126,GT_127,GT_128,GT_129,GT_130,GT_131,GT_132,GT_133,GT_134,GT_135,GT_136,GT_137,GT_138,GT_139,GT_140,GT_141,GT_142,GT_143,GT_144,GT_145,GT_146,GT_147,GT_148,GT_149,GT_150,GT_151,GT_152,GT_153,GT_154,GT_155,GT_156,GT_157,GT_158,GT_159,GT_160,GT_161,GT_162,GT_163,GT_164,GT_165,GT_166,GT_167,GT_168,GT_169,GT_170,GT_171,GT_172,GT_173,GT_174,GT_175,GT_176,GT_177,GT_178,GT_179,GT_180,GT_181,GT_182,GT_183,GT_184,GT_185,GT_186,GT_187,GT_188,GT_189,GT_190,GT_191,GT_192,GT_193,GT_194,GT_195,GT_196,GT_197,GT_198,GT_199,GT_200,GT_201,GT_202,GT_203,GT_204,GT_205,GT_206,GT_207,GT_208,GT_209,GT_210,GT_211,GT_212,GT_213,GT_214,GT_215,GT_216,GT_217,GT_218,GT_219,GT_220,GT_221,GT_222,GT_223,GT_224,GT_225,GT_226,GT_227,GT_228,GT_229,GT_230,GT_231,GT_232,GT_233,GT_234,GT_235,GT_236,GT_237,GT_238,GT_239,GT_240,GT_241,GT_242,GT_243,GT_244,GT_245,GT_246,GT_247,GT_248,GT_249,GT_250,GT_251,GT_252,GT_253,GT_254,GT_255,GT_256,GT_257,GT_258,GT_259,GT_260,GT_261,GT_262,GT_263,GT_264,GT_265,GT_266,GT_267,GT_268,GT_269,GT_270,GT_271,GT_272,GT_273,GT_274,GT_275,GT_276,GT_277,GT_278,GT_279,GT_280,GT_281,GT_282,GT_283,GT_284,GT_285,GT_286,GT_287,GT_288,GT_289,GT_290,GT_291,GT_292,GT_293,GT_294
95,0,664,97.0,0.0,664.0,4.0,0.0,664.0,30.0,0.0,664.0,80.0,0.0,664.0,358.0,0.0,795.0,616.0,0.0,830.0,621.0,0.0,830.0,664.0,2.0,795.0,664.0,2.0,830.0,95.0,3.0,97.0,95.0,3.0,358.0,95.0,3.0,616.0,95.0,3.0,621.0,95.0,3.0,4.0,95.0,3.0,30.0,95.0,3.0,80.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
96,0,664,100.0,0.0,664.0,33.0,0.0,664.0,604.0,0.0,830.0,622.0,0.0,830.0,664.0,2.0,830.0,96.0,3.0,100.0,96.0,3.0,604.0,96.0,3.0,622.0,96.0,3.0,33.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
27,1,662,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
27,0,661,417.0,0.0,661.0,544.0,0.0,661.0,417.0,0.0,665.0,417.0,0.0,667.0,114.0,0.0,673.0,114.0,0.0,674.0,281.0,0.0,690.0,471.0,0.0,690.0,417.0,0.0,727.0,341.0,0.0,794.0,417.0,0.0,815.0,661.0,2.0,665.0,661.0,2.0,667.0,661.0,2.0,673.0,661.0,2.0,674.0,661.0,2.0,690.0,661.0,2.0,727.0,661.0,2.0,794.0,661.0,2.0,815.0,27.0,3.0,114.0,27.0,3.0,281.0,27.0,3.0,341.0,27.0,3.0,417.0,27.0,3.0,471.0,27.0,3.0,544.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
31,1,664,325.0,1.0,762.0,664.0,2.0,762.0,31.0,3.0,325.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
31,1,666,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,0,666,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,0,666,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
80,0,664,95.0,0.0,664.0,97.0,0.0,664.0,30.0,0.0,664.0,358.0,0.0,795.0,616.0,0.0,830.0,621.0,0.0,830.0,664.0,2.0,795.0,664.0,2.0,830.0,80.0,3.0,95.0,80.0,3.0,97.0,80.0,3.0,358.0,80.0,3.0,616.0,80.0,3.0,621.0,80.0,3.0,30.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
80,1,662,30.0,1.0,662.0,358.0,1.0,801.0,662.0,2.0,801.0,80.0,3.0,358.0,80.0,3.0,30.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
97,0,664,4.0,0.0,664.0,30.0,0.0,664.0,80.0,0.0,664.0,95.0,0.0,664.0,358.0,0.0,795.0,616.0,0.0,830.0,621.0,0.0,830.0,664.0,2.0,795.0,664.0,2.0,830.0,97.0,3.0,358.0,97.0,3.0,616.0,97.0,3.0,621.0,97.0,3.0,4.0,97.0,3.0,30.0,97.0,3.0,80.0,97.0,3.0,95.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30,1,662,80.0,1.0,662.0,358.0,1.0,801.0,662.0,2.0,801.0,30.0,3.0,80.0,30.0,3.0,358.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30,0,664,80.0,0.0,664.0,95.0,0.0,664.0,97.0,0.0,664.0,4.0,0.0,664.0,358.0,0.0,795.0,616.0,0.0,830.0,621.0,0.0,830.0,664.0,2.0,795.0,664.0,2.0,830.0,30.0,3.0,80.0,30.0,3.0,95.0,30.0,3.0,97.0,30.0,3.0,358.0,30.0,3.0,616.0,30.0,3.0,621.0,30.0,3.0,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
90,1,664,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
90,0,662,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
90,0,666,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
90,1,661,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14,1,664,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14,1,662,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14,0,666,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14,1,661,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
33,0,664,96.0,0.0,664.0,100.0,0.0,664.0,32.0,0.0,664.0,604.0,0.0,830.0,622.0,0.0,830.0,664.0,2.0,830.0,33.0,3.0,96.0,33.0,3.0,100.0,33.0,3.0,604.0,33.0,3.0,622.0,33.0,3.0,32.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
33,1,662,32.0,1.0,662.0,33.0,3.0,32.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
33,0,666,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
84,0,662,265.0,0.0,662.0,4.0,0.0,662.0,568.0,0.0,685.0,244.0,0.0,692.0,459.0,0.0,692.0,662.0,2.0,685.0,662.0,2.0,692.0,84.0,3.0,244.0,84.0,3.0,265.0,84.0,3.0,459.0,84.0,3.0,568.0,84.0,3.0,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
36,0,666,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
82,0,664,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
35,1,665,107.0,1.0,672.0,110.0,1.0,672.0,130.0,1.0,672.0,107.0,1.0,674.0,110.0,1.0,674.0,130.0,1.0,674.0,144.0,1.0,679.0,161.0,1.0,679.0,483.0,1.0,679.0,162.0,1.0,680.0,168.0,1.0,680.0,186.0,1.0,680.0,144.0,1.0,681.0,161.0,1.0,681.0,284.0,1.0,690.0,284.0,1.0,694.0,520.0,1.0,710.0,639.0,1.0,781.0,45.0,1.0,661.0,222.0,1.0,663.0,427.0,1.0,663.0,437.0,1.0,663.0,442.0,1.0,663.0,445.0,1.0,663.0,555.0,1.0,663.0,665.0,2.0,672.0,665.0,2.0,674.0,665.0,2.0,679.0,665.0,2.0,680.0,665.0,2.0,681.0,665.0,2.0,690.0,665.0,2.0,694.0,665.0,2.0,710.0,665.0,2.0,781.0,665.0,2.0,661.0,665.0,2.0,663.0,35.0,3.0,45.0,35.0,3.0,107.0,35.0,3.0,110.0,35.0,3.0,130.0,35.0,3.0,144.0,35.0,3.0,161.0,35.0,3.0,162.0,35.0,3.0,168.0,35.0,3.0,186.0,35.0,3.0,222.0,35.0,3.0,284.0,35.0,3.0,427.0,35.0,3.0,437.0,35.0,3.0,442.0,35.0,3.0,445.0,35.0,3.0,483.0,35.0,3.0,520.0,35.0,3.0,555.0,35.0,3.0,639.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
32,0,661,35.0,0.0,661.0,66.0,0.0,661.0,1.0,0.0,661.0,492.0,0.0,679.0,171.0,0.0,680.0,297.0,0.0,690.0,307.0,0.0,690.0,468.0,0.0,690.0,258.0,0.0,760.0,262.0,0.0,760.0,604.0,0.0,830.0,661.0,2.0,679.0,661.0,2.0,680.0,661.0,2.0,690.0,661.0,2.0,760.0,661.0,2.0,830.0,32.0,3.0,35.0,32.0,3.0,66.0,32.0,3.0,171.0,32.0,3.0,258.0,32.0,3.0,262.0,32.0,3.0,297.0,32.0,3.0,307.0,32.0,3.0,468.0,32.0,3.0,492.0,32.0,3.0,604.0,32.0,3.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
32,1,662,33.0,1.0,662.0,66.0,1.0,662.0,67.0,1.0,662.0,523.0,1.0,707.0,662.0,2.0,707.0,32.0,3.0,33.0,32.0,3.0,66.0,32.0,3.0,67.0,32.0,3.0,523.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
32,0,664,33.0,0.0,664.0,35.0,0.0,664.0,94.0,0.0,664.0,100.0,0.0,664.0,1.0,0.0,664.0,604.0,0.0,830.0,664.0,2.0,830.0,32.0,3.0,33.0,32.0,3.0,35.0,32.0,3.0,94.0,32.0,3.0,100.0,32.0,3.0,604.0,32.0,3.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
45,1,662,66.0,1.0,662.0,7.0,1.0,662.0,523.0,1.0,707.0,662.0,2.0,707.0,45.0,3.0,66.0,45.0,3.0,523.0,45.0,3.0,7.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
45,1,664,7.0,1.0,664.0,302.0,1.0,720.0,664.0,2.0,720.0,45.0,3.0,302.0,45.0,3.0,7.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
45,0,666,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
